================================================================================
Cleanup-Log
================================================================================
Skript                    : cleanup.ps1
Autor                     : Stefan Homberg
Startzeit                 : 2026-06-14 08:31:21
Benutzer                  : ZEROBIT-BLADE\zerob
Computer                  : ZEROBIT-BLADE
PowerShell-Version        : 5.1.26100.8655
PowerShell-Edition        : Desktop
Interaktiver Lauf         : Ja
Automatisierung           : Nicht vorgesehen / wird bewusst blockiert
DryRun                    : True
WhatIfPreference          : False
MinimumAgeInYears         : 5
FileCutoffDate Eingabe    : 
Datei-Schwellen-Datum     : 06/14/2021 00:00:00
Datei-Schwellen-Quelle    : Standard: Heute minus 5 Jahre
Leere Verzeichnisse       : Unabhaengig vom Alter
LogPath                   : C:\Users\zerob\Documents\ibb\powershell\cleanup\20260614\to_delete_20260614_083108.log
Kandidatendatei-Ordner    : C:\Users\zerob\Documents\ibb\powershell\cleanup\20260614
ACHTUNG                   : Bei echtem Lauf werden protokollierte Eintraege endgueltig geloescht.
================================================================================

[2026-06-14 08:31:21.326] INFO	Aufgeloeste Eingabepfade:
[2026-06-14 08:31:21.328] INFO	PATH	C:\Users\zerob\Documents
[2026-06-14 08:31:21.357] MODE	DryRun aktiv. Keine Loeschungen.
[2026-06-14 08:31:21.360] INFO	Kandidatendatei erstellt	Typ=file	Pfad=C:\Users\zerob\Documents\ibb\powershell\cleanup\20260614\cleanup_candidates_file_ce427e6c9aa24f568e22c603be9b1f24.jsonl
[2026-06-14 08:31:21.383] FIND_FILE_START	Pfad=C:\Users\zerob\Documents
[2026-06-14 08:31:21.411] SKIP	ReparsePoint/SymbolicLink-Verzeichnis nicht traversiert	Pfad=C:\Users\zerob\Documents\Eigene Bilder
[2026-06-14 08:31:21.412] SKIP	ReparsePoint/SymbolicLink-Verzeichnis nicht traversiert	Pfad=C:\Users\zerob\Documents\Eigene Musik
[2026-06-14 08:31:21.412] SKIP	ReparsePoint/SymbolicLink-Verzeichnis nicht traversiert	Pfad=C:\Users\zerob\Documents\Eigene Videos
[2026-06-14 08:31:21.537] FOUND_FILE	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\x64\ExporterHost.dll	LastWriteTime=2015-05-29 02:33:34
[2026-06-14 08:31:21.564] FOUND_FILE	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Data\x64\ExporterHost.dll	LastWriteTime=2015-05-29 02:33:34
[2026-06-14 08:31:21.577] FOUND_FILE	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Data\info\DIC Swatch ReadMe.pdf	LastWriteTime=2015-05-29 00:05:02
[2026-06-14 08:31:21.578] FOUND_FILE	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Data\info\How-To CFF Extension.pdf	LastWriteTime=2007-07-14 18:51:28
[2026-06-14 08:31:21.581] FOUND_FILE	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Data\Config\DisplayLanguageNames.de_CH.txt	LastWriteTime=2015-05-29 01:04:38
[2026-06-14 08:31:21.582] FOUND_FILE	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Data\Config\DisplayLanguageNames.el_GR_PREEURO.txt	LastWriteTime=2015-05-29 01:04:38
[2026-06-14 08:31:21.586] FOUND_FILE	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Data\Config\msg_30.txt	LastWriteTime=2013-05-20 22:07:50
[2026-06-14 08:31:21.589] FOUND_FILE	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Config\DisplayLanguageNames.de_CH.txt	LastWriteTime=2015-05-29 01:04:38
[2026-06-14 08:31:21.590] FOUND_FILE	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Config\DisplayLanguageNames.el_GR_PREEURO.txt	LastWriteTime=2015-05-29 01:04:38
[2026-06-14 08:31:21.592] FOUND_FILE	Pfad=C:\Users\zerob\Documents\tmp\kubernetes\Resources\Config\msg_30.txt	LastWriteTime=2013-05-20 22:07:50
[2026-06-14 08:31:21.661] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\kobo_oezlem_demir.png	LastWriteTime=2015-07-28 08:59:50
[2026-06-14 08:31:21.662] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\kobo_oezlem_demir.psd	LastWriteTime=2015-07-27 11:39:12
[2026-06-14 08:31:21.664] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\kobo_oezlem_demir.svg	LastWriteTime=2015-07-28 07:08:10
[2026-06-14 08:31:21.666] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\rademir_stempel.png	LastWriteTime=2015-07-28 07:50:30
[2026-06-14 08:31:21.667] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\rademir_stempel.psd	LastWriteTime=2015-07-27 11:40:24
[2026-06-14 08:31:21.668] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\stempel_01.svg	LastWriteTime=2015-07-28 07:47:32
[2026-06-14 08:31:21.669] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\vk.png	LastWriteTime=2015-07-28 09:00:04
[2026-06-14 08:31:21.670] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\vk.svg	LastWriteTime=2015-07-28 08:40:36
[2026-06-14 08:31:21.670] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\vk_back.jpg	LastWriteTime=2015-07-27 11:39:58
[2026-06-14 08:31:21.673] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\print\kobo_oezlem_demir.jpg	LastWriteTime=2015-07-27 09:34:40
[2026-06-14 08:31:21.674] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\print\rademir_stempel.png	LastWriteTime=2015-07-27 09:59:42
[2026-06-14 08:31:21.675] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\print\vk_back.jpg	LastWriteTime=2015-07-27 09:57:04
[2026-06-14 08:31:21.677] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\print\vk_front.jpg	LastWriteTime=2015-07-27 09:56:14
[2026-06-14 08:31:21.679] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\ansicht\kobo_oezlem_demir.jpg	LastWriteTime=2015-07-27 09:37:42
[2026-06-14 08:31:21.680] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\ansicht\rademir_stempel.png	LastWriteTime=2015-07-27 09:02:32
[2026-06-14 08:31:21.681] FOUND_FILE	Pfad=C:\Users\zerob\Documents\oezlem\ansicht\vk_back.jpg	LastWriteTime=2015-07-27 09:58:16
[2026-06-14 08:31:22.388] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\.babelrc	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.389] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\.eslintrc	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.390] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\index.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.391] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\jest.config.js	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.391] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\package-lock.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.392] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\package.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.393] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\README.md	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.398] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\number-app\app.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.399] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\number-app\client.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.400] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\number-app\index.html	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.401] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\number-app\package-lock.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.402] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\number-app\package.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.403] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\number-app\tsconfig-client.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.404] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\number-app\tsconfig-server.json	LastWriteTime=2020-10-27 15:46:52
